#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2022-09-02T18:25:04 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ631248d42a3e4c	
#INFO	-out.max=unlimited	
#INFO	queryParameters=21	
#-oc.form=dec
#-out.max=unlimited
#-sort=_r
#-order=I
#-out.src=I/239/hip_main
#-nav=cat:I/239&tab:{I/239/hip_main}&key:source=hipparcos&HTTPPRM:&&-ref=VIZ631248d42a3e4c&-out.max=50&-out.form=HTML Table&-sort=_r&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=HIP&-out=Vmag&Vmag=<=6&-out=Plx&-out=pmRA&-out=pmDE&-out=e_Plx&-out=B-V&-ignore=HIPep=*&HIPep=HIPep&Erratum=Erratum&-out=_RA.icrs&-out=_DE.icrs&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=I/239/hip_main
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=I/239/hip_main
#-out=HIP
#-out=Vmag
#Vmag=<=6
#-out=Plx
#-out=pmRA
#-out=pmDE
#-out=e_Plx
#-out=B-V
#-out=_RA.icrs
#-out=_DE.icrs
#

#RESOURCE=yCat_1239
#Name: I/239
#Title: The Hipparcos and Tycho Catalogues (ESA 1997)
#Coosys	H_1991.250:	ICRS
#Table	I_239_hip_main:
#Name: I/239/hip_main
#Title: The Hipparcos Main Catalogue
#Column	HIP	(I6)	Identifier (HIP number) (H1)	[ucd=meta.id;meta.main]
#Column	Vmag	(F5.2)	? Magnitude in Johnson V (H5)	[ucd=phot.mag;em.opt.V]
#Column	Plx	(F7.2)	? Trigonometric parallax (H11)	[ucd=pos.parallax.trig]
#Column	pmRA	(F8.2)	*? Proper motion mu_alpha.cos(delta), ICRS(H12)	[ucd=pos.pm;pos.eq.ra]
#Column	pmDE	(F8.2)	*? Proper motion mu_delta, ICRS (H13)	[ucd=pos.pm;pos.eq.dec]
#Column	e_Plx	(F6.2)	? Standard error in Plx (H16)	[ucd=stat.error;pos.parallax]
#Column	B-V	(F6.3)	? Johnson B-V colour (H37)	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	_RA.icrs	(F12.8)	Right ascension (ICRS) at Epoch=J2000, proper motions taken into account	[ucd=pos.eq.ra]
#Column	_DE.icrs	(F12.8)	Declination (ICRS) at Epoch=J2000, proper motions taken into account	[ucd=pos.eq.dec]
HIP|Vmag|Plx|pmRA|pmDE|e_Plx|B-V|_RA.icrs|_DE.icrs
 16664| 5.95|   6.28|    2.70|  -33.96|  3.96| 0.123|053.61093721|+24.46439289
 16780| 5.56|   8.60|   23.65|   80.60|  0.77| 0.915|053.99027570|-11.19378202
 16803| 5.24|   6.89|   33.35|   -9.65|  0.82|-0.117|054.07255242|-17.46706452
 16826| 4.32|   4.66|   21.41|  -27.58|  0.73|-0.058|054.12241189|+48.19263365
 16846| 5.82|  34.52|  -32.98| -163.45|  0.87| 0.885|054.19703978|+00.58775771
 16852| 4.29|  72.89| -232.69| -482.00|  0.78| 0.575|054.21826338|+00.40166163
 16870| 4.57|  14.88|    2.77|  -14.23|  0.55| 1.023|054.27366762|-40.27454534
 16989| 5.86|   8.35|   -1.06|  -63.16|  0.74| 0.980|054.62189008|-07.39186296
 17027| 5.97|  28.44|  -13.53| -207.06|  0.77| 0.921|054.75465745|-05.62620983
 17103| 5.55|   8.14|  -36.61|    8.32|  0.85| 0.931|054.96300949|+03.05686329
 17167| 5.53|   4.41|    0.14|   -3.64|  0.75|-0.145|055.15972166|-05.21070611
 17203| 5.55|   4.04|   22.86|  -27.30|  0.81|-0.062|055.28274194|+37.58019786
 17296| 5.06|   6.27|  -16.97|   19.34|  0.63| 1.651|055.53885419|+63.21680592
 17304| 4.99|   4.45|    5.16|   14.23|  0.62|-0.159|055.56209453|-31.93836128
 17309| 5.68|   7.97|    5.82|  -13.24|  1.02|-0.016|055.57895166|+19.70025375
 17313| 4.97|   3.53|    4.39|   -5.21|  0.88|-0.048|055.59436099|+33.96502633
 17342| 5.74|   1.48|    0.56|    2.75|  0.75| 1.736|055.67806192|+59.96939134
 17351| 4.59|  18.34|  -90.81|  -71.42|  0.56| 1.191|055.70856433|-37.31351844
 17358| 3.01|   6.18|   23.83|  -41.93|  0.85|-0.125|055.73126161|+47.78755139
 17378| 3.52| 110.58|  -91.71|  742.23|  0.88| 0.915|055.81209088|-09.76339465
 17395| 5.59|  23.30|   -7.97|  -20.23|  0.94| 0.216|055.89097385|-10.48566061
 17440| 3.84|  32.71|  308.39|   78.72|  0.46| 1.133|056.04990630|-64.80690264
 17448| 3.84|   2.21|    8.11|  -10.32|  0.84| 0.022|056.07971679|+32.28824817
 17457| 5.24|   4.99|    3.62|   -5.26|  0.74|-0.088|056.12712547|-01.16309122
 17460| 5.60|   9.83|   48.24|  -41.44|  0.88| 0.062|056.13096594|+36.46010312
 17489| 5.45|   9.75|   20.73|  -44.00|  1.05|-0.034|056.20089755|+24.28947018
 17499| 3.72|   8.80|   21.55|  -44.92|  0.89|-0.105|056.21890550|+24.11333922
 17506| 5.56|   9.28|   60.54|   -1.86|  0.88| 1.411|056.23540778|-00.29672011
 17527| 5.66|   8.87|   19.03|  -46.64|  0.89|-0.064|056.29057938|+24.83926001
 17529| 3.77|   5.86|  -14.59|    1.75|  0.74| 0.425|056.29846606|+42.57854862
 17531| 4.30|   8.75|   19.35|  -41.63|  1.08|-0.110|056.30206043|+24.46727761
 17534| 5.72|   8.93|   -3.07|   -9.03|  0.54| 0.961|056.31615242|-47.35947619
 17563| 5.34|   5.54|   20.61|  -15.61|  0.80|-0.099|056.41851045|+06.04999111
 17573| 3.87|   9.06|   21.09|  -45.03|  1.03|-0.063|056.45669431|+24.36774851
 17579| 5.76|   8.43|   19.44|  -45.36|  0.89|-0.036|056.47698473|+24.55451103
 17584| 5.66|   3.14|   17.51|  -18.44|  0.78|-0.080|056.49691551|+45.68189950
 17585| 5.79|  18.06|   82.08| -113.37|  0.62| 0.347|056.50391351|+67.20160533
 17587| 4.78|   4.08|   -0.94|   -8.41|  0.66| 0.747|056.50971428|+63.34504728
 17593| 4.43|   6.56|   55.59|   60.03|  0.80| 1.604|056.53556491|-12.10158939
 17595| 5.91|   9.68|   -1.82|  -55.42|  0.83| 0.992|056.53901175|+06.80352052
 17608| 4.14|   9.08|   21.17|  -42.67|  1.04|-0.051|056.58155765|+23.94835836
 17618| 5.91|   9.90|    7.18|    3.80|  0.72| 0.110|056.61428557|-29.33815682
 17651| 4.22|  55.79| -159.86| -528.54|  0.69| 0.434|056.71203143|-23.24972265
 17678| 3.26|  15.23|   51.07|  115.27|  0.53| 1.590|056.80975497|-74.23896234
 17702| 2.85|   8.87|   19.35|  -43.11|  0.99|-0.086|056.87115217|+24.10513715
 17717| 5.24|  11.98|   48.02|   49.01|  0.72| 0.075|056.91521237|-23.87467670
 17738| 5.52|  11.55|   26.20| -231.06|  0.65| 0.973|056.98350273|-30.16788223
 17771| 5.08|   5.77|   28.25|  -29.82|  0.97|-0.125|057.06778675|+11.14329389
 17776| 5.44|   9.64|   19.14|  -46.80|  0.91|-0.067|057.08673496|+23.42124980
 17798| 5.81|   3.93|  -29.81|  -16.70|  0.73| 1.602|057.14876826|-20.90297667
 17797| 4.30|  20.23|   75.83|  -10.69|  0.83|-0.038|057.14949492|-37.62015476
 17805| 5.91|   6.58|   65.55|   -6.01|  0.88| 1.224|057.16231066|+00.22785663
 17846| 5.95|  14.43|   -7.03|   29.53|  0.96| 0.279|057.28382126|+43.96309470
 17847| 3.62|   8.57|   17.77|  -44.70|  1.03|-0.070|057.29059399|+24.05341547
 17851| 5.05|   8.42|   18.71|  -46.74|  0.86|-0.082|057.29673351|+24.13671205
 17854| 5.40|  10.02|   20.91|  -62.70|  0.54| 0.096|057.30724168|+70.87104997
 17874| 4.17|  15.54|  -49.42|  -56.63|  0.58| 0.927|057.36352150|-36.20025014
 17884| 4.39|   3.38|   -2.50|  -13.98|  0.63| 1.870|057.38034127|+65.52597247
 17886| 5.14|  10.96|  -18.15|    0.30|  0.81| 0.057|057.38620754|+33.09138215
 17891| 5.82|  14.11|  -17.80|  -56.65|  0.64| 0.189|057.40249205|+63.29696669
 17932| 5.65|   9.41|  -37.80|  -26.82|  0.85| 0.779|057.51841774|+44.96785586
 17954| 5.24|  16.96|   36.37| -117.95|  0.82| 0.231|057.57890965|+25.57936194
 17959| 4.59|   9.73|   18.27|  -42.00|  0.55| 0.064|057.58962130|+71.33226569
 18081| 5.78|   3.15|    4.28|   -4.22|  0.84|-0.036|057.97383088|+34.35911894
 18089| 5.66|   4.63|    7.60|   -2.80|  1.49| 0.046|058.00095388|+06.53490743
 18141| 5.48|   6.49|    3.24|   -7.10|  0.91|-0.090|058.17356640|-05.36125893
 18170| 5.97|  24.14|  143.97|  -29.93|  0.90| 0.354|058.29186012|+17.32708320
 18199| 5.93|   9.06|   17.65|  -35.18|  0.56| 1.220|058.38882879|-46.89367411
 18212| 5.76|   7.58|   37.72|  -30.08|  0.78| 1.040|058.41126409|+48.65049537
 18213| 5.11|   9.19|   31.99|   -0.81|  0.56|-0.133|058.41227864|-34.73229726
 18216| 4.64|   8.46|   30.93|   -7.18|  0.75|-0.136|058.42792843|-24.61222998
 18217| 5.80|  19.14|   85.08|  -93.81|  0.69| 0.182|058.43035872|+57.97514130
 18246| 2.84|   3.32|    4.41|   -9.15|  0.75| 0.271|058.53300625|+31.88363552
 18255| 4.46|   9.46|   26.42|    1.49|  0.86| 0.672|058.57292521|-02.95472986
 18262| 5.70|   6.32|  -22.06|    8.30|  0.57| 0.599|058.59650653|-40.35700883
 18339| 5.99|  20.41|  -76.94|  -22.14|  0.84| 0.323|058.81719951|-12.09910485
 18396| 5.39|   3.86|   17.57|  -20.62|  0.76|-0.073|058.99238825|+47.87142000
 18434| 5.49|   3.36|    2.56|   -3.96|  0.76|-0.058|059.11954126|+35.08089877
 18453| 5.28|  24.51|   94.13| -127.90|  0.85| 0.425|059.15217692|+50.69538082
 18471| 5.62|  22.31|   69.43| -114.82|  0.92| 0.345|059.21698585|+22.47797113
 18488| 4.99|   1.76|   -3.40|  -14.06|  0.74| 1.435|059.28453577|+61.10888286
 18505| 4.95|   9.65|    7.58|    6.01|  0.66|-0.074|059.35602208|+63.07226405
 18532| 2.90|   6.06|   12.61|  -24.06|  0.82|-0.199|059.46346140|+40.01021467
 18543| 2.97|  14.75|   60.51| -111.34|  0.75| 1.588|059.50735988|-13.50851533
 18597| 4.56|   6.15|    9.79|  -14.39|  0.46| 1.590|059.68645594|-61.40018557
 18606| 5.85|  22.88|  -46.75| -174.03|  0.75| 1.001|059.71830773|-05.46994675
 18614| 3.98|   1.84|    1.92|    2.30|  0.70| 0.016|059.74125467|+35.79103260
 18647| 5.61|   3.66|   -1.40|  -38.11|  0.90| 1.479|059.87554895|-12.57442477
 18673| 4.62|   9.85|   11.41|   17.08|  0.68|-0.121|059.98118081|-24.01621526
 18723| 5.93|   9.09|   47.49|    5.15|  0.64| 0.036|060.16939835|-30.49069722
 18724| 3.41|   8.81|   -8.15|  -11.98|  0.99|-0.099|060.17006562|+12.49034659
 18735| 5.89|  21.99|  129.49|  -28.27|  0.81| 0.319|060.20318917|+18.19399995
 18744| 4.48|   6.65|    1.80|   34.95|  0.48| 1.500|060.22419697|-62.15928428
 18772| 4.97|   9.85|   66.66|   94.51|  0.45| 1.386|060.32563108|-61.07882177
 18788| 5.28|   7.20|   27.96|  -13.79|  0.83|-0.133|060.38354244|-01.54965977
 18805| 5.67|   5.77|    5.59|    1.13|  0.78| 0.005|060.44223468|+09.99801668
 18859| 5.38|  52.00|  151.20| -252.03|  0.75| 0.516|060.65310384|-00.26892309
 18907| 3.91|  25.24|    5.52|   -1.63|  0.87| 0.032|060.78908352|+05.98930513
 18957| 5.32|   3.12|    1.23|   -5.40|  0.96|-0.080|060.93585228|+05.43562441
 18975| 5.45|  27.80|  168.35|   27.98|  0.95| 0.371|060.98585128|+08.19726936
 18993| 5.36|  28.87|  149.52| -125.67|  0.82| 0.505|061.04114570|+02.82694713
 19009| 5.46|   3.42|   -0.31|  -13.82|  0.90| 0.813|061.09030616|+24.10599281
 19011| 5.62|   8.12|   15.85|   17.95|  0.84| 1.062|061.09464958|-12.79229521
 19018| 5.00|   1.88|   -1.79|   -0.38|  0.66| 0.495|061.11317347|+59.15550727
 19038| 4.36|  18.04|   91.73|  -58.52|  0.84| 1.064|061.17381506|+22.08192566
 19076| 5.90|  59.79|  172.61| -130.08|  0.84| 0.620|061.33440892|+22.00890535
 19095| 5.59|  23.16|  200.52|   94.21|  0.68| 0.324|061.40598316|-27.65180738
 19129| 5.88|   5.23|    7.29|    3.00|  0.62| 1.543|061.51325851|+68.67997255
 19167| 4.25|   9.41|  -13.03|  -36.37|  0.84|-0.011|061.64601411|+50.35126182
 19171| 5.18|   6.60|   22.13|  -50.18|  0.85|-0.124|061.65171900|+27.59990322
 19205| 5.21|  36.26|  -94.03|    4.90|  1.00| 0.359|061.75189443|+29.00129953
 19284| 5.89|   9.46|    7.66|  -10.06|  1.06| 1.497|061.99756702|+17.33989656
 19335| 5.52|  46.87|  163.93| -203.52|  0.77| 0.520|062.15256811|+38.03973329
 19343| 3.96|   5.89|   20.19|  -33.26|  0.72|-0.025|062.16537820|+47.71251275
 19376| 5.94|   7.32|   14.76|   -7.30|  0.92| 0.052|062.25653961|+13.39828055
 19388| 5.51|  11.21|  107.44|  -31.64|  0.87| 1.077|062.29152955|+19.60921676
 19398| 5.45|   4.49|   -1.08|    0.99|  0.78|-0.147|062.32431519|-16.38587484
 19454| 5.84|  24.44|  142.70|  -87.62|  0.55| 0.393|062.50682624|+86.62613867
 19461| 5.10|   9.44|  -11.57|    3.00|  0.86| 0.589|062.51143299|+80.69868138
 19483| 5.44|   8.65|    3.44|  -11.99|  0.82| 0.941|062.59384111|-06.92385241
 19511| 5.70|  10.06|   48.06|    2.84|  0.90| 1.057|062.69902023|-08.81981407
 19513| 5.39|  16.72|  -30.81|  -36.10|  0.93| 0.352|062.70775376|+26.48095174
 19515| 4.93|  18.61|  199.09|   69.10|  0.59| 0.334|062.71078866|-41.99357326
 19525| 5.75|   5.95|   -1.52|   -8.91|  0.80| 1.412|062.74592063|+33.58679214
 19554| 5.71|  25.89|  146.86|    5.00|  0.95| 0.360|062.83450749|+05.52304720
 19571| 5.80|  13.06|   45.73|   49.83|  0.72| 0.165|062.90084954|-20.35615701
 19587| 4.04|  25.98|   11.92|   81.28|  1.04| 0.327|062.96641752|-06.83758114
 19719| 5.29|  27.04|   -3.99|    4.45|  0.90| 0.366|063.38793263|+07.71604492
 19740| 4.84|   8.78|   -9.42|  -30.60|  1.39| 0.799|063.48493908|+09.26382406
 19747| 3.85|  27.85|   41.89| -203.65|  0.51| 1.085|063.50047645|-42.29436792
 19777| 4.87|  15.80|   -7.61| -162.11|  0.95| 1.156|063.59870269|-10.25628292
 19780| 3.33|  19.98|   41.64|   49.72|  0.45| 0.915|063.60618205|-62.47385803
 19799| 5.22|   6.88|   -6.57|  -13.44|  1.03|-0.085|063.65097556|+10.01140644
 19805| 5.45|  12.21|   -2.96|   97.94|  0.48| 1.106|063.70227288|-62.19181137
 19811| 4.67|   5.20|    9.72|  -21.58|  1.05| 1.007|063.72215672|+40.48367149
 19812| 4.12|   4.51|    5.04|  -17.35|  0.76| 0.935|063.72442567|+48.40933095
 19849| 4.43| 198.24|-2239.33|-3419.86|  0.84| 0.820|063.81800057|-07.65287058
 19860| 4.27|   7.50|   20.39|  -21.75|  1.13|-0.054|063.88357189|+08.89235703
 19893| 4.26|  49.26|  100.57|  184.23|  0.50| 0.312|064.00660681|-51.48664800
 19921| 4.44|  54.84|  -47.99| -167.81|  0.50| 1.078|064.12095285|-59.30215628
 19949| 5.20|   9.24|  -16.99|   -1.68|  0.75| 0.052|064.17953476|+53.61179910
 19968| 5.69|   7.97|    6.07|  -21.36|  0.69|-0.116|064.22314808|+61.84998933
 19983| 5.72|  12.38|   24.16|  -50.06|  0.74| 1.108|064.28374481|+57.86035488
 19990| 4.93|  34.87|  -40.88|  -61.45|  0.80| 0.259|064.31525283|+20.57859097
 19996| 5.95|   5.92|  -15.13|   -7.31|  0.76| 1.078|064.33009240|-06.47217752
 20020| 5.88|   7.05|    5.48|   35.53|  0.58|-0.061|064.41780159|-63.25540535
 20042| 3.55|  18.27|   62.31|   -6.75|  0.55|-0.108|064.47359293|-33.79834786
 20049| 5.67|   8.00|   28.26|   61.02|  0.50| 0.836|064.49697361|-80.21403275
 20070| 4.60|  10.25|   46.59|  -56.43|  0.87| 0.043|064.56090838|+50.29550228
 20075| 6.00|   3.12|    4.85|   19.17|  0.72| 1.597|064.56698763|-20.71525965
 20087| 5.64|  18.25|   96.42|  -33.92|  0.82| 0.277|064.59667564|+21.57929684
 20156| 5.46|  12.59|   62.89|  -58.65|  0.84| 0.235|064.80516403|+50.04869508
 20161| 5.33|  14.10|   63.14|  -36.63|  0.51| 1.066|064.81956921|-44.26791929
 20171| 5.50|  12.20|   29.49|  -42.73|  0.76|-0.069|064.85873910|+21.14230672
 20186| 5.34|  10.32|   29.77|  -41.39|  0.76|-0.107|064.90294037|+21.77349114
 20205| 3.65|  21.17|  115.29|  -23.86|  1.17| 0.981|064.94834891|+15.62764232
 20219| 5.58|  22.31|  115.42|  -19.91|  0.92| 0.283|064.99043425|+14.03520115
 20234| 5.55|   2.74|    0.57|   -7.56|  0.75|-0.031|065.04796980|+50.92093297
 20241| 5.95|   9.42|   16.12|  -34.45|  0.79| 0.962|065.06012475|+41.80806972
 20250| 4.97|   9.53|  -29.04|  -76.97|  0.92| 1.150|065.08839870|+27.35075361
 20252| 4.93|  14.42|  -24.95|   -7.00|  0.83| 0.950|065.10265987|+34.56672527
 20261| 5.26|  21.20|  108.79|  -20.67|  0.99| 0.225|065.15129355|+15.09545334
 20264| 5.38|   7.05|   26.13|   -9.40|  0.67|-0.027|065.16255613|-20.63962187
 20266| 5.26|   9.80|  -28.52|   -4.70|  0.67| 0.820|065.16802237|+65.14044145
 20268| 5.76|   7.62|  -13.06|  -44.79|  0.93| 0.914|065.17185742|+06.13079800
 20271| 5.85|   4.31|    4.47|   -1.10|  0.75|-0.124|065.17847704|-07.59249348
 20297| 5.78|  18.61|    9.07|  126.08|  0.49| 0.359|065.24194867|-81.57992035
 20341| 5.86|   6.98|  -19.81| -124.66|  0.91| 1.320|065.36266073|-00.09816957
 20354| 4.80|   7.03|   21.41|  -34.97|  0.79|-0.022|065.38819502|+46.49887790
 20376| 5.40|   7.64|   56.70| -113.66|  0.72| 1.497|065.44854484|+60.73562541
 20380| 5.91|  10.53|  -14.56|    7.06|  0.68| 0.112|065.46585794|+56.50631755
 20384| 5.24|   8.58|   85.20|  174.37|  0.43| 0.955|065.47219466|-63.38639132
 20400| 5.72|  21.87|  114.04|  -21.40|  0.96| 0.315|065.51465927|+14.07719850
 20417| 5.91|   1.86|   -1.99|   -1.04|  1.13| 1.660|065.59470757|+20.82141589
 20430| 5.38|  12.19|   20.37|  -17.88|  1.00|-0.041|065.64559841|+25.62931425
 20455| 3.77|  21.29|  107.75|  -28.84|  0.93| 0.983|065.73372189|+17.54251420
 20465| 5.81|   7.18|   19.59|  -15.64|  0.70| 1.507|065.77363984|-24.89215684
 20484| 5.64|  21.17|  105.09|  -27.62|  0.80| 0.310|065.85442658|+16.77725981
 20493| 6.00|   6.77|   15.93|  -35.07|  0.76| 0.029|065.88486187|+20.98204451
 20507| 5.17|  15.66|  -47.92|  -56.73|  0.80| 0.072|065.92021811|-03.74547033
 20522| 5.10|   8.23|  -21.02|   -6.65|  0.94| 0.074|065.96593830|+09.46096761
 20535| 3.97|  11.95|   73.77|   57.57|  0.59| 1.468|066.00923865|-34.01684639
 20542| 4.80|  22.36|  109.99|  -33.47|  0.88| 0.154|066.02400423|+17.44413026
 20579| 5.73|   5.34|   20.50|  -34.17|  0.84|-0.054|066.12147997|+34.13075775
 20591| 5.77|  24.00|   54.69|  -83.07|  0.91| 0.400|066.15609410|+33.95968652
 20614| 5.97|  20.40|  110.73|  -32.50|  0.74| 0.378|066.23803343|+19.04201331
 20619| 5.94|   5.08|  -18.82|   21.69|  0.48| 1.533|066.27223872|-61.23819356
 20635| 4.21|  21.27|  105.49|  -44.14|  0.80| 0.136|066.34235536|+22.29387370
 20641| 5.27|  22.65|  112.45|  -47.06|  0.84| 0.250|066.35423116|+22.19999802
 20648| 4.30|  22.05|  108.26|  -32.47|  0.77| 0.049|066.37243249|+17.92791025
 20704| 5.29|  13.42|   76.70| -121.54|  0.81| 0.986|066.52629107|+31.43891123
 20711| 4.28|  21.07|  108.66|  -45.83|  0.80| 0.263|066.57693136|+22.81358255
 20713| 4.48|  20.86|  114.66|  -33.30|  0.84| 0.262|066.58642154|+15.61826526
 20732| 4.69|   7.17|   -7.57|  -31.15|  0.81| 0.979|066.65155089|+14.71378193
 20776| 5.42|   3.48|   12.94|  -20.90|  0.54| 1.179|066.76225830|+80.82415938
 20789| 5.53|   7.86|   -0.35|  -13.25|  0.75|-0.098|066.82269784|+22.99633661
 20804| 5.87|   6.70|   -2.51|  -13.20|  0.96| 0.049|066.86986896|+11.21230000
 20825| 5.74|   9.92|  -11.73|    3.50|  0.51| 1.005|066.94178419|-62.52120577
 20842| 5.72|  20.85|   98.82|  -40.59|  0.86| 0.270|067.00326498|+21.61990692
 20860| 5.51|   4.76|   -4.23|   11.25|  0.63|-0.106|067.05530219|+83.80779018
 20873| 5.90|  18.42|  109.72|  -21.27|  1.93| 0.325|067.09751196|+14.74097429
 20877| 4.96|  16.78|    8.12|   17.79|  1.02| 1.137|067.10987536|+16.35967226
 20884| 5.53|   8.47|   17.66|  -21.97|  1.11|-0.099|067.13383172|+01.38082076
 20885| 3.84|  20.66|  104.76|  -15.01|  0.85| 0.952|067.14373289|+15.96218073
 20889| 3.53|  21.04|  107.23|  -36.77|  0.82| 1.014|067.15416474|+19.18043155
 20892| 5.95|  10.09|   37.76| -113.46|  0.67| 1.215|067.16265745|-19.45887385
 20894| 3.40|  21.89|  108.66|  -26.39|  0.83| 0.179|067.16558676|+15.87088266
 20901| 5.02|  20.33|  105.17|  -15.08|  0.84| 0.215|067.20901684|+13.04760240
 20922| 5.61|   2.07|    0.30|   -0.95|  0.82|-0.202|067.27885610|-13.04836956
 20982| 5.47|  10.74|  -46.72|  101.95|  0.54| 0.855|067.50151557|+83.34037923
 20995| 5.58|  22.93|  107.59|  -23.92|  1.25| 0.324|067.53582507|+15.63784050
 21029| 4.78|  22.54|  104.98|  -25.14|  0.77| 0.170|067.64013694|+16.19401446
 21036| 5.40|  21.84|  108.06|  -19.71|  0.89| 0.263|067.65568103|+13.72440227
 21039| 5.47|  22.55|  104.17|  -24.29|  1.09| 0.258|067.66204071|+15.69187925
 21042| 5.95|   8.92|    1.51|   31.23|  0.58| 1.005|067.66804354|-35.65350415
 21060| 5.07|   4.59|    2.44|   -2.48|  0.51|-0.194|067.70874876|-44.95374954
 21139| 4.91|   3.93|   -3.76|   -8.17|  0.96| 1.320|067.96944698|-00.04401101
 21148| 5.78|  -1.53|   -3.19|   -5.99|  1.02| 0.119|068.00766596|+53.91083011
 21192| 5.76|   7.61|   17.97|  -16.69|  0.83|-0.117|068.15647223|-03.20954083
 21247| 5.94|   8.74|   29.36|  -90.83|  0.61| 0.306|068.37782750|+72.52860478
 21248| 4.49|  26.22| -114.35| -271.56|  0.71| 0.972|068.37730272|-29.76649190
 21253| 5.79|  21.74| -117.21|  -19.34|  0.51| 1.028|068.39145868|-62.82367752
 21273| 4.65|  21.39|  103.69|  -25.94|  1.24| 0.255|068.46215732|+14.84442444
 21278| 5.71|   4.18|   -2.65|   -4.76|  0.88|-0.128|068.47803408|-06.73890765
 21281| 3.30|  18.56|   58.06|   12.73|  0.46|-0.079|068.49907315|-55.04497465
 21295| 5.67|   7.99|  -15.58|   -7.77|  1.09| 0.055|068.53444548|+05.56861606
 21296| 5.20|   4.05|  -22.42|    2.88|  0.72| 1.708|068.54845226|-08.23135239
 21297| 5.24|   4.96|  -36.27| -112.18|  0.78| 1.465|068.54904299|-08.97025763
 21323| 5.88|   7.00|   -0.64|  -21.87|  0.86|-0.048|068.65829859|+28.96115052
 21393| 3.81|  15.62|  -48.92|  -12.75|  0.63| 0.957|068.88766065|-30.56234148
 21402| 4.25|  21.68|   44.89|  -52.42|  0.82| 0.184|068.91358400|+10.16078965
 21421| 0.87|  50.09|   62.78| -189.36|  0.95| 1.538|068.98016110|+16.50930139
 21444| 3.93|   5.56|    1.73|   -4.54|  0.88|-0.210|069.07975664|-03.35245903
 21452| 5.91|   7.36|  -26.03|   -7.37|  0.65|-0.009|069.10082308|+64.26160210
 21476| 4.25|   5.08|   -5.42|  -19.19|  0.98| 1.171|069.17262260|+41.26480803
 21479| 5.59|  16.02|  -68.46|  -71.22|  0.69| 1.500|069.18996817|-62.07715439
 21515| 5.32|   3.85|   -4.91|   -5.34|  0.78|-0.107|069.30697237|+00.99831413
 21547| 5.22|  33.60|   43.32|  -64.23|  0.91| 0.283|069.40054960|-02.47354823
 21588| 5.78|  21.96|  113.05|  -40.40|  1.04| 0.312|069.53935407|+16.03329069
 21589| 4.27|  21.79|  101.73|  -14.90|  0.79| 0.122|069.53942698|+12.51083801
 21594| 3.86|  29.84|  -77.86| -178.06|  0.62| 1.082|069.54510028|-14.30401978
 21604| 5.85|   9.03|  -13.89|   -8.23|  0.84|-0.019|069.56595752|+20.68472222
 21644| 4.99|  14.34|  -65.10|  -17.68|  0.78| 0.074|069.72314537|-12.12312125
 21670| 5.38|  19.44|   91.87|   -4.56|  0.86| 0.257|069.77565406|+07.87097645
 21673| 5.08|  21.49|   32.40|  -77.67|  0.96| 0.141|069.78840390|+15.79984564
 21683| 4.67|  20.51|   82.40|  -19.53|  0.82| 0.147|069.81875764|+15.91797673
 21685| 5.46|  16.42|  121.08| -125.41|  0.69| 1.054|069.83212910|-14.35919211
 21727| 5.07|   6.58|   -7.38|  -15.95|  0.78| 1.079|069.97783327|+53.07953529
 21730| 5.36|  11.76|   35.88|  -88.79|  0.86| 0.331|069.99195325|+53.47302066
 21735| 5.45|   9.46|   -1.29|  -12.98|  0.78|-0.121|070.01423960|+12.19760933
 21743| 5.56|  10.34|  -69.92|   17.70|  0.69| 0.926|070.02833922|-24.48236829
 21763| 4.32|   9.03|   28.21|  -97.09|  0.69| 1.599|070.11046417|-19.67149284
 21770| 4.44|  49.67| -141.18|  -74.95|  0.53| 0.342|070.14046881|-41.86375251
 21819| 5.73|   9.74|   37.35|  -30.04|  0.83| 0.018|070.33233566|+28.61499392
 21823| 5.66|  10.48|   44.67|  -44.20|  0.89| 0.002|070.35053554|+48.30088121
 21847| 5.97|  32.03|  241.54|  -97.88|  0.91| 0.593|070.45940195|+38.28018222
 21861| 5.04|  36.16|   46.90|  193.14|  0.60| 0.391|070.51450254|-37.14429672
 21881| 4.27|   8.14|   -2.84|  -20.33|  0.78|-0.112|070.56125702|+22.95692604
 21914| 5.30|   9.50|  -35.90|   34.63|  0.46| 0.977|070.69343174|-50.48133388
 21928| 5.30|  12.02|   34.70|  -52.07|  0.97| 0.028|070.72636135|+43.36513795
 21949| 5.53|   6.75|    9.30|   34.77|  0.49|-0.114|070.76651415|-70.93102736
 21958| 5.66|   4.36|  -30.32|  -66.45|  0.65| 1.391|070.78872184|-30.76555689
 21972| 5.86|   5.09|   -5.18|  -15.33|  0.78| 0.013|070.83997399|+49.97378898
